CFOP;DESCRIÇÃO RESUMIDA [original];DESCRIÇÃO DETALHADA;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.113;2.113 - Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil.;Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.116;2.116 - Compra para industrialização ou produção rural originada de encomenda para recebimento futuro.;"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código ""2.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro"".";;;;;;;;;;;;;;;;;;;;;;;;;;;
2.117;2.117 - Compra para comercialização originada de encomenda para recebimento futuro.;Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código “2.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.118;2.118 - Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem.;Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja classificada, pelo adquirente originário, no código “6.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.120;2.120 - Compra para industrialização, em venda à ordem, já recebida do vendedor remetente.;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.121;2.121 - Compra para comercialização, em venda à ordem, já recebida do vendedor remetente.;Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.122;2.122 - Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente.;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.124;2.124 - Industrialização efetuada por outra empresa.;Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos “2.551 - Compra de bem para o ativo imobilizado” ou “2.556 - Compra de material para uso ou consumo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.125;2.125 - Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria.;Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos “2.551 - Compra de bem para o ativo imobilizado” ou “2.556 - Compra de material para uso ou consumo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.126;2.126 - Compra para utilização na prestação de serviço sujeita ao ICMS.;Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ICMS.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.128;2.128 - Compra para utilização na prestação de serviço sujeita ao ISSQN.;Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ISSQN.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.131;2.131 - Entrada de mercadoria, com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo.;Classificam-se neste código as entradas de mercadorias, com previsão de posterior ajuste ou fixação de preço, proveniente de cooperado, bem como proveniente de outra cooperativa, em que a saída tenha sido classificada no código “6.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, de ato cooperativo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.132;2.132 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização.;Classificam-se neste código as entradas para comercialização referentes à fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo cuja saída tenha sido classificada no código “6.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.135;2.135 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização.;Classificam-se neste código as entradas para industrialização referentes à fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo cuja saída tenha sido classificada no código “6.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.150;2.150 - TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIA-LIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.151;2.151 - Transferência para industrialização ou produção rural.;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas em processo de industrialização ou produção rural.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.152;2.152 - Transferência para comercialização.;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.153;2.153 - Transferência de energia elétrica para distribuição.;Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.154;2.154 - Transferência para utilização na prestação de serviço.;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.159;2.159 - Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo.;"Classificam-se neste código as entradas decorrentes de fornecimento de produtos ou mercadorias por estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujo fornecimento tenha sido classificado no código ""6.159 - Fornecimento de produção do estabelecimento de ato cooperativo” ou “6.160 - Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo”.";;;;;;;;;;;;;;;;;;;;;;;;;;;
2.200;2.200 - DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA, DE TERCEIROS OU ANULAÇÕES DE VALORES; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.201;2.201 - Devolução de venda de produção do estabelecimento.;"Classificam-se neste código as devoluções de vendas de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas tenham sido classificadas como ""6.101 - Venda de produção do estabelecimento. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.";;;;;;;;;;;;;;;;;;;;;;;;;;;
2.202;2.202 - Devolução de venda de mercadoria adquirida ou recebida de terceiros, ou qualquer devolução de mercadoria efetuada pelo MEI com exceção das classificadas nos códigos 2.503, 2.504, 2.505 e 2.506.;Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como “Venda de mercadoria adquirida ou recebida de terceiros”. Também serão classificadas neste código quaisquer devoluções de mercadorias efetuadas pelo MEI com exceção das classificadas nos códigos “2.503 - Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento”, “2.504 - Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros”, “2.505 - Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento” e “2.506 - Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.203;2.203 - Devolução de venda ou de transferência de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio.;"Classificam-se neste código as devoluções de vendas ou de transferências de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas foram classificadas nos códigos ""6.109 - Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio” ou “6.157 - Transferência de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio”. Também serão classificados neste código os retornos de mercadorias não entregues ao destinatário.";;;;;;;;;;;;;;;;;;;;;;;;;;;
2.204;2.204 - Devolução de venda ou transferência de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio.;Classificam-se neste código as devoluções de vendas ou de transferências de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas nos códigos “6.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio” ou “6.158 - Transferência de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio”. Também serão classificados neste código os retornos de mercadorias não entregues ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.205;2.205 - Anulação de valor relativo a prestação de serviço de comunicação.;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.206;2.206 - Anulação de valor relativo a prestação de serviço de transporte.;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.207;2.207 - Anulação de valor relativo a venda de energia elétrica.;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.208;2.208 - Devolução de produção do estabelecimento, remetida em transferência.;Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, transferidos para outros estabelecimentos da mesma empresa. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.209;2.209 - Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência.;Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.212;2.212 - Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).;Classificam-se neste código as devoluções de vendas de produtos industrializados e insumos importados pelo estabelecimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.213;2.213 - Devolução de remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.;Classificam-se neste código as devoluções de remessa que tenham sido classificadas no código “6.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, de ato cooperativo.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.214;2.214 - Devolução referente à fixação de preço de produção do estabelecimento produtor, de ato cooperativo.;Classificam-se neste código as devoluções referentes à fixação de preço de produção do estabelecimento produtor cuja saída tenha sido classificada no código “6.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.250;2.250 - COMPRAS DE ENERGIA ELÉTRICA; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.251;2.251 - Compra de energia elétrica para distribuição ou comercialização.;Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.252;2.252 - Compra de energia elétrica por estabelecimento industrial.;Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.253;2.253 - Compra de energia elétrica por estabelecimento comercial.;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.254;2.254 - Compra de energia elétrica por estabelecimento prestador de serviço de transporte.;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.255;2.255 - Compra de energia elétrica por estabelecimento prestador de serviço de comunicação.;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.256;2.256 - Compra de energia elétrica por estabelecimento de produtor rural.;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.300;2.300 - AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.301;2.301 - Aquisição de serviço de comunicação para execução de serviço da mesma natureza.;Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.302;2.302 - Aquisição de serviço de comunicação por estabelecimento industrial.;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.303;2.303 - Aquisição de serviço de comunicação por estabelecimento comercial.;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.304;2.304 - Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte.;Classificam-se neste código as aquisições de serviços de comunicação utilizado por estabelecimento prestador de serviço de transporte.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.305;2.305 - Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica.;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.306;2.306 - Aquisição de serviço de comunicação por estabelecimento de produtor rural.;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.350;2.350 - AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.361;2.361 - Aquisição de serviço de transporte iniciado na unidade federada em que estiver localizado o transportador.;Classificam-se neste código as aquisições de serviços de transporte que se iniciam na mesma unidade federada em que estiver localizado o transportador.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.362;2.362 - Aquisição de serviço de transporte iniciado em unidade federada diversa da que estiver localizado o transportador.;Classificam-se neste código as aquisições de serviços de transporte que se iniciam em outra unidade federada, diferente da que estiver localizado o transportador.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.450;2.450 - SISTEMAS DE INTEGRAÇÃO E PARCERIA RURAL; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.451;2.451 - Entrada de animal - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas de animais pelo sistema integrado e de produção animal, para criação, recriação ou engorda, inclusive em sistema de confinamento. Também serão classificados neste código as entradas do sistema de integração e produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.452;2.452 - Entrada de insumo - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas de insumos pelo sistema integrado e de produção animal, para criação, recriação ou engorda, inclusive em sistema de confinamento. Também serão classificados neste código as entradas do sistema de integração e produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.453;2.453 - Retorno do animal ou da produção - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas referentes ao retorno da produção, bem como dos animais criados, recriados ou engordados pelo produtor no sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “6.453 - Retorno de animal ou da produção - Sistema de Integração e Parceria Rural”. Também serão classificados neste código as entradas referentes aos retornos do sistema de integração e produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.454;2.454 - Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas referentes ao retorno simbólico da produção, bem como dos animais criados, recriados ou engordados pelo produtor no sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “6.454 - Retorno simbólico de animal ou da produção - Sistema de Integração e Parceria Rural”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.455;2.455 - Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural.;Classificam-se neste código as entradas referentes aos retornos de insumos não utilizados pelo produtor na criação, recriação ou engorda de animais pelo sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “6.455 - Retorno de insumos não utilizados na produção - Sistema de Integração e Parceria Rural”, inclusive as o-perações entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.456;2.456 - Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural.;Classificam-se neste código a entrada da parcela da produção do produtor realizada em sistema de integração e produção animal, quando da entrega ao integrador ou parceiro. Também classificam-se neste código a entrada decorrente de “ato cooperativo”, inclusive operação entre cooperativa singular e cooperativa central.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.500;2.500 - ENTRADAS DE MERCADORIAS REMETIDAS PARA FORMAÇÃO DE LOTE OU COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.501;2.501 - Entrada de mercadoria recebida com fim específico de exportação.;Classificam-se neste código as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim específico de exportação.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.503;2.503 - Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento.;"Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, remetidos a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido classificadas no código ""6.501 - Remessa de produção do estabelecimento, com fim específico de exportação"". Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.";;;;;;;;;;;;;;;;;;;;;;;;;;;
2.504;2.504 - Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros.;Classificam-se neste código as devoluções simbólicas ou físicas de mercadorias adquiridas ou recebidas de terceiros remetidas a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido classificadas no código “6.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação”. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.505;2.505 - Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.;Classificam-se neste código as devoluções simbólicas ou físicas de mercadorias, bem como o retorno de mercadorias não entregues, remetidas para formação de lote de exportação, cujas saídas tenham sido classificadas no código “6.504 - Remessa de mercadorias para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.506;2.506 - Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação.;Classificam-se neste código as devoluções de mercadorias, bem como o retorno de mercadorias não entregues, remetidas para formação de lote de exportação em armazéns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legislação tributária de cada Unidade Federada, efetuadas pelo estabelecimento depositário, cujas saídas tenham sido classificadas no código “6.505 - Remessa de mercadorias, adquiridas ou recebidas de terceiros, para formação de lote de ex-portação”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.550;2.550 - OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.551;2.551 - Compra de bem para o ativo imobilizado.;Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.552;2.552 - Transferência de bem do ativo imobilizado.;Classificam-se neste código as entradas de bens destinados ao ativo imobilizado recebidos em transferência de outro estabelecimento da mesma empresa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.553;2.553 - Devolução de venda de bem do ativo imobilizado.;Classificam-se neste código as devoluções de vendas de bens do ativo imobilizado, cujas saídas tenham sido classificadas no código “6.551 - Venda de bem do ativo imobilizado”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.554;2.554 - Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento.;Classificam-se neste código as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas saídas tenham sido classificadas no código “6.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.555;2.555 - Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento.;Classificam-se neste código as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.556;2.556 - Compra de material para uso ou consumo.;Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.557;2.557 - Transferência de material para uso ou consumo.;Classificam-se neste código as entradas de materiais para uso ou consumo recebidos em transferência de outro estabelecimento da mesma empresa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.600;2.600 - CRÉDITOS E RESSARCIMENTOS DE ICMS; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.603;2.603 - Ressarcimento de ICMS retido por substituição tributária.;Classificam-se neste código os lançamentos destinados ao registro de ressarcimento de ICMS retido por substituição tributária a contribuinte substituído, efetuado pelo contribuinte substituto, nas hipóteses previstas na legislação aplicável.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.650;2.650 - ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO E LUBRIFI-CANTES;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.651;2.651 - Compra de combustíveis ou lubrificantes para industrialização subsequente.;Classificam-se neste código as compras de combustíveis ou lubrificantes a serem utilizados em processo de industrialização do próprio produto.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.652;2.652 - Compra de combustíveis ou lubrificantes para comercialização.;Classificam-se neste código as compras de combustíveis ou lubrificantes a serem comercializados.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.653;2.653 - Compra de combustíveis ou lubrificantes por consumidor ou usuário final.;Classificam-se neste código as compras de combustíveis ou lubrificantes a serem consumidos em processo de industrialização de outros produtos, na produção rural, na prestação de serviços ou por usuário final.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.657;2.657 - Retorno de remessa de combustíveis ou lubrificantes para venda fora do estabelecimento.;Classificam-se neste código as entradas em retorno de combustíveis ou lubrificantes remetidos para venda fora do estabelecimento, inclusive por meio de veículos, e não comercializadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.658;2.658 - Transferência de combustíveis e lubrificantes para industrialização.;Classificam-se neste código as entradas de combustíveis e lubrificantes recebidas em transferência de outro estabelecimento da mesma empresa para serem utilizados em processo de industrialização do próprio produto.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.659;2.659 - Transferência de combustíveis e lubrificantes para comercialização.;Classificam-se neste código as entradas de combustíveis e lubrificantes recebidas em transferência de outro estabelecimento da mesma empresa para serem comercializados.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.660;2.660 - Devolução de venda de combustíveis ou lubrificantes destinado à industrialização subsequente.;Classificam-se neste código as devoluções de vendas de combustíveis ou lubrificantes, cujas saídas tenham sido classificadas como “Venda de combustíveis ou lubrificantes destinado à industrialização subsequente”. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.661;2.661 - Devolução de venda de combustíveis ou lubrificantes destinado à comercialização.;Classificam-se neste código as devoluções de vendas de combustíveis ou lubrificantes, cujas saídas tenham sido classificadas como “Venda de combustíveis ou lubrificantes para comercialização”. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.662;2.662 - Devolução de venda de combustíveis ou lubrificantes destinado a consumidor ou usuário final.;Classificam-se neste código as devoluções de vendas de combustíveis ou lubrificantes, cujas saídas tenham sido classificadas como “Venda de combustíveis ou lubrificantes por consumidor ou usuário final”. Também se classifica neste código o retorno de mercadoria não entregue ao destinatário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.663;2.663 - Entrada de combustíveis ou lubrificantes para armazenagem.;Classificam-se neste código as entradas de combustíveis ou lubrificantes para armazenagem.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.664;2.664 - Retorno de combustíveis ou lubrificantes remetido para armazenagem.;Classificam-se neste código as entradas, ainda que simbólicas, por retorno de combustíveis ou lubrificantes, remetidos para armazenagem.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.900;2.900 - OUTRAS ENTRADAS DE MERCADORIAS OU AQUISIÇÕES DE SERVIÇOS; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.901;2.901 - Entrada física para industrialização por encomenda.;Classificam-se neste código as entradas físicas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.902;2.902 - Retorno de mercadoria remetida para industrialização por encomenda.;Classificam-se neste código o retorno dos insumos remetidos para industrialização por encomenda, incorporados ao produto final pelo estabelecimento industrializador.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.903;2.903 - Entrada de mercadoria remetida para industrialização e não aplicada no referido processo.;Classificam-se neste código as entradas em devolução de insumos remetidos para industrialização e não aplicados no referido processo.;;;;;;;;;;;;;;;;;;;;;;;;;;;
